1	Şimdi	şimdi	Adverb	Adverb	_	0	ROOT
2	,	,	Punc	Punc	_	1	PUNCTUATION
3	_	çalış	Verb	Verb	Pos	4	DERIV
4	çalışma	_	Noun	Inf2	A3sg|Pnon|Nom	5	OBJECT
5	_	yap	Verb	Verb	Pos	6	DERIV
6	yaptığımızda	_	Noun	PastPart	A3sg|P1pl|Loc	0	ROOT
7	,	,	Punc	Punc	_	6	PUNCTUATION
8	tüm	tüm	Det	Det	_	9	DETERMINER
9	_	dünya	Noun	Noun	A3sg|Pnon|Loc	10	DERIV
10	dünyadaki	_	Adj	Rel	_	12	MODIFIER
11	diğer	diğer	Adj	Adj	_	12	MODIFIER
12	iş	iş	Noun	Noun	A3sg|Pnon|Nom	0	ROOT
13	arkadaşlarımızla	arkadaş	Noun	Noun	A3pl|P1pl|Ins	14	ARGUMENT
14	birlikte	birlikte	Postp	PCIns	_	20	MODIFIER
15	8	8	Adj	Num	_	16	MODIFIER
16	binden	bin	Noun	Num	A3sg|Pnon|Abl	17	ARGUMENT
17	fazla	fazla	Postp	PCAbl	_	20	MODIFIER
18	insanla	insan	Noun	Noun	A3sg|Pnon|Ins	20	MODIFIER
19	görüşme	görüşme	Noun	Noun	A3sg|Pnon|Nom	20	OBJECT
20	yaptık	yap	Verb	Verb	Pos|Past|A1pl	37	COORDINATION
21	-	-	Punc	Punc	_	20	PUNCTUATION
22	Dominikli	Dominikli	Adj	Adj	_	23	MODIFIER
23	keşişlerden	keşiş	Noun	Noun	A3pl|Pnon|Abl	37	MODIFIER
24	,	,	Punc	Punc	_	23	PUNCTUATION
25	kör	kör	Adj	Adj	_	26	MODIFIER
26	rahibelere	rahibe	Noun	Noun	A3pl|Pnon|Dat	37	MODIFIER
27	,	,	Punc	Punc	_	26	PUNCTUATION
28	Himalaya	Himalaya	Noun	Prop	A3sg|Pnon|Nom	37	SUBJECT
29	'ya	'ya	?	?	_	37	MODIFIER
30	tırmananlardan	tırmananlar	Noun	Noun	A3sg|Pnon|Abl	32	COORDINATION
31	,	,	Punc	Punc	_	30	PUNCTUATION
32	Anavaşya	anavaşya	Noun	Noun	A3sg|Pnon|Nom	33	POSSESSOR
33	çobanlarına	çoban	Noun	Noun	A3pl|P3sg|Dat	37	MODIFIER
34	-	-	Punc	Punc	_	33	PUNCTUATION
35	hepsi	hepsi	Pron	Quant	A3pl|P3pl|Nom	37	SUBJECT
36	işini	iş	Noun	Noun	A3sg|P3sg|Acc	37	OBJECT
37	seviyordu	sev	Verb	Verb	Pos|Prog1|Past|A3sg	0	ROOT
